SPX,GLD,USO,SLV,EUR/USD
1938.98999,123.989998,36.48,19.4,1.34221
1377.51001,167.990005,31.299999,31.379999,1.275998
1849.040039,124.589996,36.5,19.0,1.378208
1941.98999,122.279999,38.990002,18.940001,1.354793
2349.25,117.449997,11.36,17.040001,1.057832
1568.609985,153.339996,33.639999,27.030001,1.308027
2102.310059,105.970001,14.85,14.38,1.096395
994.349976,92.790001,36.860001,14.09,1.421707
1093.670044,116.860001,35.419998,17.709999,1.291306
2614.449951,126.300003,12.81,15.46,1.227853
1319.050049,131.679993,36.66,28.66,1.357497
1515.599976,152.970001,33.599998,27.83,1.319435
1028.0,92.760002,37.169998,14.04,1.423629
1390.839966,89.139999,105.919998,17.264999,1.551807
1341.469971,152.149994,31.52,26.059999,1.22564
2582.139893,121.309998,11.28,15.98,1.173186
1414.199951,162.600006,31.35,29.950001,1.294834
1374.530029,167.100006,31.41,31.4,1.270971
784.039978,94.349998,30.360001,13.42,1.366195
2099.679932,116.339996,19.26,15.75,1.140472
2001.540039,120.730003,34.700001,18.26,1.289108
2110.300049,115.279999,18.65,15.54,1.136674
1089.469971,117.339996,34.740002,17.530001,1.284406
1802.47998,120.459999,33.82,19.27,1.355234
1877.079956,106.080002,8.54,13.58,1.079902
1229.050049,165.589996,35.799999,32.43,1.390453
2419.379883,118.809998,9.1,15.79,1.133915
2090.570068,113.669998,20.299999,15.11,1.216945
910.330017,93.760002,34.110001,14.42,1.383394
1792.810059,119.959999,34.880001,19.0,1.359065
1426.660034,160.619995,32.240002,28.940001,1.3182
2037.050049,116.599998,10.01,14.46,1.120272
1234.349976,165.979996,37.779999,30.700001,1.340375
893.039978,90.540001,36.25,13.54,1.407202
2047.619995,102.639999,11.56,13.49,1.089396
1103.319946,109.129997,37.529999,16.35,1.397624
1169.77002,131.960007,35.650002,22.84,1.391692
852.299988,70.0,45.75,9.17,1.245904
1160.400024,157.699997,31.969999,29.959999,1.358585
2150.48999,120.970001,11.09,16.940001,1.121076
1381.290039,93.709999,80.099998,18.6,1.49961
1252.540039,91.330002,101.459999,17.26,1.5673
1286.170044,150.479996,39.0,35.709999,1.4583
1066.630005,106.980003,40.799999,17.120001,1.487807
2342.189941,122.82,11.04,17.34,1.072869
2104.98999,115.029999,19.940001,15.57,1.075558
1367.680054,95.989998,81.480003,19.666,1.519595
1094.869995,109.620003,37.790001,15.82,1.376709
2055.469971,118.639999,19.469999,16.030001,1.147197
2112.129883,118.82,12.22,15.6,1.135783
951.130005,93.279999,34.830002,13.45,1.41985
899.23999,79.75,35.810001,10.12,1.301406
2557.639893,122.970001,10.46,16.25,1.179454
2601.419922,122.830002,11.59,16.1,1.192649
1221.530029,135.199997,37.77,27.93,1.312491
896.419983,91.25,36.049999,13.16,1.396005
1906.900024,105.0,9.27,13.38,1.086201
832.859985,91.93,32.02,13.35,1.35307
1597.569946,142.770004,33.16,23.459999,1.316829
2091.699951,118.699997,10.81,16.290001,1.129905
1080.290039,121.690002,32.950001,18.959999,1.280295
1746.380005,128.690002,34.950001,21.75,1.378094
2147.26001,125.370003,10.14,18.040001,1.124594
2187.02002,129.110001,11.3,18.77,1.134945
2027.219971,120.589996,10.18,14.87,1.110901
2035.939941,116.330002,10.06,14.43,1.118105
2552.070068,120.519997,10.25,15.69,1.171234
1661.319946,131.690002,38.240002,22.15,1.335399
1320.640015,146.0,37.240002,33.84,1.449695
1762.969971,126.559998,33.669998,20.9,1.351698
2786.23999,126.959999,12.87,16.27,1.20421
2081.899902,115.470001,18.07,15.81,1.078528
1075.630005,120.389999,33.25,17.92,1.280803
2191.080078,111.540001,11.33,15.66,1.05921
2362.97998,115.059998,10.67,16.32,1.057015
2079.280029,112.57,19.709999,15.32,1.128095
1192.76001,173.919998,33.830002,39.029999,1.439802
1244.280029,169.820007,39.029999,31.65,1.346692
2681.659912,124.790001,12.37,15.41,1.238129
1298.420044,93.040001,82.290001,18.250999,1.563893
1932.23999,110.489998,14.59,14.44,1.117893
2169.179932,126.0,10.08,18.66,1.09878
1205.939941,112.309998,40.27,17.77,1.326999
1625.959961,140.380005,34.009998,23.1,1.307702
2561.26001,121.669998,10.48,16.059999,1.179523
1878.329956,124.860001,36.720001,18.76,1.381368
1351.949951,168.020004,38.330002,32.900002,1.324854
1065.48999,99.339996,37.490002,16.950001,1.471605
2000.02002,123.349998,35.040001,18.629999,1.31702
1831.97998,118.0,34.23,19.23,1.376671
2126.5,119.68,11.37,16.57,1.101564
1552.47998,154.190002,33.259998,28.200001,1.303271
2480.909912,119.510002,10.1,15.33,1.180094
1104.180054,121.559998,32.889999,19.32,1.269309
1775.5,118.290001,34.970001,18.809999,1.378607
2496.840088,123.139999,10.49,15.91,1.178606
2555.23999,122.790001,10.36,16.25,1.186549
2041.319946,114.050003,28.68,15.5,1.251846
2353.780029,121.190002,11.17,17.309999,1.061132
2088.870117,102.459999,13.39,13.52,1.064385
1324.800049,149.460007,35.049999,26.370001,1.273075
2163.75,127.330002,10.87,19.25,1.110605
1636.359985,133.740005,34.330002,21.040001,1.336791
920.26001,92.309998,38.049999,13.81,1.405304
2082.780029,117.110001,10.48,15.34,1.127002
2056.149902,115.480003,18.209999,16.299999,1.096047
1979.26001,120.580002,9.65,14.62,1.101601
2108.629883,104.269997,16.1,14.09,1.093924
2684.570068,120.309998,11.64,15.22,1.187818
1787.869995,122.949997,33.720001,19.610001,1.350439
1007.099976,92.93,37.709999,14.15,1.415008
1098.51001,109.599998,40.549999,17.290001,1.498397
1121.900024,121.620003,34.029999,19.540001,1.2872
1285.5,157.139999,31.76,27.719999,1.246261
2058.689941,120.650002,10.68,16.120001,1.138797
1646.060059,132.009995,38.169998,22.34,1.333387
909.23999,89.690002,32.290001,13.74,1.364498
1413.170044,158.830002,35.98,28.370001,1.247661
1626.130005,133.25,33.790001,20.91,1.322401
1472.050049,161.059998,34.060001,29.48,1.327316
2088.77002,114.830002,20.780001,15.35,1.221001
1156.390015,85.459999,77.5,11.9,1.430492
1870.849976,124.769997,37.040001,18.74,1.371648
1411.630005,85.129997,77.309998,15.167,1.475492
1498.109985,161.199997,35.279999,30.440001,1.356834
